customer_id,gender,is_senior_citizen,partner,dependents,partner_dependents,phone_service,internet_service,has_phone_and_internet,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,avg charges,Check,Start Date,is_female,has_churned,has_phone,has_internet,Contract Type,Phone Service,Internet Service,service_type
0042-JVWOJ,Male,0,No,No,0,1,0,FALSE,1,Bank transfer (automatic),19.60,471.85,No,24,19.66,FALSE,20190727,FALSE,FALSE,TRUE,FALSE,1 Year,One Line,No Internet Service,Phone Only
0042-RLHYP,Female,0,Yes,Yes,3,1,0,FALSE,2,Bank transfer (automatic),19.70,"1,396.90",No,70,19.96,FALSE,20150927,TRUE,FALSE,TRUE,FALSE,2 Year,One Line,No Internet Service,Phone Only
0048-LUMLS,Male,0,Yes,Yes,3,1,2,TRUE,1,Credit card (automatic),91.20,"3,247.55",No,35,92.79,FALSE,20180827,FALSE,FALSE,TRUE,TRUE,1 Year,One Line,Fiber Optic,Phone & Internet
0048-PIHNL,Female,0,Yes,No,1,1,0,FALSE,1,Bank transfer (automatic),20.45,900.90,No,44,20.48,FALSE,20171127,TRUE,FALSE,TRUE,FALSE,1 Year,One Line,No Internet Service,Phone Only
0052-DCKON,Male,0,Yes,No,1,2,2,TRUE,1,Bank transfer (automatic),115.80,"7,942.15",No,68,116.80,FALSE,20151127,FALSE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
0052-YNYOT,Female,0,No,No,0,1,0,FALSE,1,Electronic check,20.55,"1,343.40",No,65,20.67,FALSE,20160227,TRUE,FALSE,TRUE,FALSE,1 Year,One Line,No Internet Service,Phone Only
0056-EPFBG,Male,0,Yes,Yes,3,0,1,FALSE,2,Credit card (automatic),39.40,825.40,No,20,41.27,FALSE,20191127,FALSE,FALSE,FALSE,TRUE,2 Year,No Phone Service,DSL,Internet Only
0057-QBUQH,Female,0,No,Yes,2,2,0,FALSE,2,Electronic check,25.10,"1,070.15",No,42,25.48,FALSE,20180127,TRUE,FALSE,TRUE,FALSE,2 Year,Two or More Lines,No Internet Service,Phone Only
0058-EVZWM,Female,0,Yes,No,1,2,2,TRUE,0,Bank transfer (automatic),89.80,"4,959.60",No,55,90.17,FALSE,20161227,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0060-FUALY,Female,0,Yes,No,1,2,2,TRUE,0,Electronic check,94.75,"5,597.65",No,59,94.88,FALSE,20160827,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0064-SUDOG,Female,0,Yes,Yes,3,1,0,FALSE,2,Bank transfer (automatic),20.30,224.50,No,11,20.41,FALSE,20200827,TRUE,FALSE,TRUE,FALSE,2 Year,One Line,No Internet Service,Phone Only
0064-YIJGF,Male,0,Yes,Yes,3,2,2,TRUE,0,Bank transfer (automatic),75.75,"1,929.00",No,25,77.16,FALSE,20190627,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0067-DKWBL,Male,1,No,No,0,1,1,TRUE,0,Electronic check,49.25,91.10,Yes,1,91.10,FALSE,20210627,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL,Phone & Internet
0068-FIGTF,Female,0,No,No,0,1,1,TRUE,1,Mailed check,78.20,"2,078.95",No,26,79.96,FALSE,20190527,TRUE,FALSE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0071-NDAFP,Male,0,Yes,Yes,3,2,0,FALSE,2,Credit card (automatic),25.50,630.60,No,24,26.28,FALSE,20190727,FALSE,FALSE,TRUE,FALSE,2 Year,Two or More Lines,No Internet Service,Phone Only
0074-HDKDG,Male,0,Yes,Yes,3,1,1,TRUE,1,Bank transfer (automatic),61.60,"1,611.00",No,26,61.96,FALSE,20190527,FALSE,FALSE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0076-LVEPS,Male,0,No,Yes,2,0,1,FALSE,0,Mailed check,45.00,"1,242.45",No,27,46.02,FALSE,20190427,FALSE,FALSE,FALSE,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
0078-XZMHT,Male,0,Yes,No,1,2,1,TRUE,2,Bank transfer (automatic),85.15,"6,316.20",No,74,85.35,FALSE,20150527,FALSE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,DSL,Phone & Internet
0080-EMYVY,Female,0,No,No,0,1,1,TRUE,1,Credit card (automatic),51.45,727.85,No,14,51.99,FALSE,20200527,TRUE,FALSE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0080-OROZO,Female,0,No,No,0,1,2,TRUE,1,Electronic check,99.25,"3,532.00",No,35,100.91,FALSE,20180827,TRUE,FALSE,TRUE,TRUE,1 Year,One Line,Fiber Optic,Phone & Internet
0082-LDZUE,Male,0,No,No,0,1,1,TRUE,0,Mailed check,44.30,44.30,No,1,44.30,TRUE,20210627,FALSE,FALSE,TRUE,TRUE,Month-to-Month,One Line,DSL,Phone & Internet
0082-OQIQY,Male,0,No,No,0,1,2,TRUE,0,Electronic check,94.20,"2,607.60",No,27,96.58,FALSE,20190427,FALSE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0083-PIVIK,Male,0,No,No,0,2,1,TRUE,1,Electronic check,81.25,"5,567.55",No,68,81.88,FALSE,20151127,FALSE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,DSL,Phone & Internet
0089-IIQKO,Female,0,Yes,Yes,3,2,2,TRUE,0,Credit card (automatic),99.95,"3,767.40",No,37,101.82,FALSE,20180627,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0093-EXYQL,Female,1,No,No,0,1,2,TRUE,0,Electronic check,91.55,"3,673.60",No,40,91.84,FALSE,20180327,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0093-XWZFY,Male,0,No,No,0,2,2,TRUE,0,Credit card (automatic),104.50,"4,036.85",Yes,38,106.23,FALSE,20180527,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0094-OIFMO,Female,1,No,No,0,1,2,TRUE,0,Electronic check,95.00,"1,120.30",Yes,11,101.85,FALSE,20200827,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0096-BXERS,Female,0,Yes,No,1,2,1,TRUE,0,Electronic check,50.35,314.55,No,6,52.43,FALSE,20210127,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL,Phone & Internet
0096-FCPUF,Male,0,No,No,0,2,1,TRUE,0,Mailed check,64.50,"1,888.45",No,29,65.12,FALSE,20190227,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL,Phone & Internet
0098-BOWSO,Male,0,No,No,0,1,0,FALSE,0,Electronic check,19.40,529.80,No,27,19.62,FALSE,20190427,FALSE,FALSE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0100-DUVFC,Male,1,Yes,No,1,2,2,TRUE,1,Electronic check,104.80,"7,308.95",No,69,105.93,FALSE,20151027,FALSE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
0103-CSITQ,Female,0,Yes,No,1,2,2,TRUE,1,Bank transfer (automatic),109.40,"6,252.70",No,57,109.70,FALSE,20161027,TRUE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
0104-PPXDV,Male,0,Yes,No,1,1,1,TRUE,1,Credit card (automatic),50.30,"2,878.55",No,57,50.50,FALSE,20161027,FALSE,FALSE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0106-GHRQR,Male,0,No,No,0,2,1,TRUE,0,Bank transfer (automatic),71.40,"1,212.10",No,16,75.76,FALSE,20200327,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL,Phone & Internet
0106-UGRDO,Female,0,Yes,No,1,2,2,TRUE,2,Electronic check,116.00,"8,182.85",No,70,116.90,FALSE,20150927,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0107-WESLM,Male,0,No,No,0,1,0,FALSE,0,Electronic check,19.85,19.85,Yes,1,19.85,TRUE,20210627,FALSE,TRUE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0107-YHINA,Male,0,No,Yes,2,2,2,TRUE,0,Electronic check,99.75,99.75,Yes,1,99.75,TRUE,20210627,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0111-KLBQG,Male,1,Yes,Yes,3,1,2,TRUE,0,Mailed check,93.95,"2,861.45",No,30,95.38,FALSE,20190127,FALSE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0112-QAWRZ,Male,0,Yes,Yes,3,2,2,TRUE,0,Bank transfer (automatic),90.80,"1,442.20",No,15,96.15,FALSE,20200427,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0112-QWPNC,Male,0,Yes,No,1,2,1,TRUE,1,Electronic check,84.35,"4,059.35",Yes,48,84.57,FALSE,20170727,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,DSL,Phone & Internet
0114-IGABW,Female,0,Yes,No,1,0,1,FALSE,2,Bank transfer (automatic),58.25,"4,145.90",No,71,58.39,FALSE,20150827,TRUE,FALSE,FALSE,TRUE,2 Year,No Phone Service,DSL,Internet Only
0114-PEGZZ,Female,0,No,No,0,2,2,TRUE,0,Electronic check,107.55,"3,645.50",No,33,110.47,FALSE,20181027,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0114-RSRRW,Female,0,Yes,No,1,1,0,FALSE,0,Bank transfer (automatic),19.95,187.75,No,9,20.86,FALSE,20201027,TRUE,FALSE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0115-TFERT,Male,0,Yes,No,1,2,2,TRUE,0,Electronic check,111.20,"2,317.10",Yes,20,115.86,FALSE,20191127,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0117-LFRMW,Male,0,Yes,Yes,3,0,1,FALSE,0,Bank transfer (automatic),40.20,"1,448.80",Yes,36,40.24,FALSE,20180727,FALSE,TRUE,FALSE,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
0118-JPNOY,Female,1,No,No,0,1,2,TRUE,0,Credit card (automatic),85.80,"2,193.65",No,25,87.75,FALSE,20190627,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0121-SNYRK,Male,0,No,No,0,0,1,FALSE,1,Mailed check,35.40,"1,748.90",No,49,35.69,FALSE,20170627,FALSE,FALSE,FALSE,TRUE,1 Year,No Phone Service,DSL,Internet Only
0122-OAHPZ,Female,0,No,No,0,2,2,TRUE,0,Electronic check,73.85,511.25,Yes,6,85.21,FALSE,20210127,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0123-CRBRT,Female,0,Yes,Yes,3,2,1,TRUE,2,Mailed check,88.10,"5,526.75",No,62,89.14,FALSE,20160527,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,DSL,Phone & Internet
0125-LZQXK,Male,0,No,No,0,1,2,TRUE,0,Electronic check,101.35,"1,553.95",Yes,15,103.60,FALSE,20200427,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0128-MKWSG,Female,0,No,Yes,2,0,1,FALSE,0,Mailed check,45.80,"1,147.00",No,25,45.88,FALSE,20190627,TRUE,FALSE,FALSE,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
0129-KPTWJ,Male,0,Yes,No,1,1,2,TRUE,0,Electronic check,94.65,"6,747.35",No,71,95.03,FALSE,20150827,FALSE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0129-QMPDR,Male,0,Yes,Yes,3,1,0,FALSE,1,Bank transfer (automatic),20.50,865.05,No,42,20.60,FALSE,20180127,FALSE,FALSE,TRUE,FALSE,1 Year,One Line,No Internet Service,Phone Only
0130-SXOUN,Male,0,No,No,0,2,2,TRUE,0,Credit card (automatic),89.40,"5,976.90",No,66,90.56,FALSE,20160127,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0133-BMFZO,Female,0,No,No,0,1,2,TRUE,0,Electronic check,86.25,181.65,Yes,2,90.83,FALSE,20210527,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0134-XWXCE,Female,1,No,No,0,1,1,TRUE,1,Bank transfer (automatic),74.85,"3,268.05",No,43,76.00,FALSE,20171227,TRUE,FALSE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0135-NMXAP,Female,0,No,No,0,2,2,TRUE,0,Bank transfer (automatic),89.75,"1,052.40",Yes,11,95.67,FALSE,20200827,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0136-IFMYD,Male,1,Yes,No,1,2,2,TRUE,2,Electronic check,109.95,"7,634.25",No,69,110.64,FALSE,20151027,FALSE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0137-OCGAB,Female,0,No,No,0,2,2,TRUE,0,Mailed check,80.20,80.20,Yes,1,80.20,TRUE,20210627,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0137-UDEUO,Female,0,No,No,0,1,0,FALSE,0,Mailed check,19.85,63.75,Yes,3,21.25,FALSE,20210427,TRUE,TRUE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0139-IVFJG,Female,0,Yes,No,1,1,2,TRUE,0,Electronic check,90.35,190.50,No,2,95.25,FALSE,20210527,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0141-YEAYS,Female,1,No,No,0,2,2,TRUE,0,Bank transfer (automatic),86.45,"2,401.05",No,27,88.93,FALSE,20190427,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0142-GVYSN,Male,0,No,No,0,1,0,FALSE,0,Electronic check,20.30,511.25,No,25,20.45,FALSE,20190627,FALSE,FALSE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0147-ESWWR,Female,1,Yes,No,1,2,2,TRUE,0,Electronic check,101.25,"3,949.15",No,39,101.26,FALSE,20180427,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0148-DCDOS,Male,0,No,No,0,2,2,TRUE,0,Bank transfer (automatic),94.70,"2,362.10",Yes,24,98.42,FALSE,20190727,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0151-ONTOV,Female,0,No,No,0,1,2,TRUE,0,Mailed check,70.90,70.90,Yes,1,70.90,TRUE,20210627,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0156-FVPTA,Male,0,Yes,No,1,1,1,TRUE,0,Electronic check,54.20,"1,152.70",Yes,21,54.89,FALSE,20191027,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL,Phone & Internet
0164-APGRB,Female,0,No,No,0,2,2,TRUE,2,Electronic check,114.90,"8,496.70",No,73,116.39,FALSE,20150627,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0164-XAIRP,Female,0,No,No,0,1,0,FALSE,2,Bank transfer (automatic),19.55,470.20,No,24,19.59,FALSE,20190727,TRUE,FALSE,TRUE,FALSE,2 Year,One Line,No Internet Service,Phone Only
0168-XZKBB,Female,0,Yes,No,1,2,2,TRUE,0,Electronic check,86.85,"1,564.40",No,18,86.91,FALSE,20200127,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0174-QRVVY,Male,0,Yes,Yes,3,2,0,FALSE,2,Credit card (automatic),25.35,"1,847.55",No,72,25.66,FALSE,20150727,FALSE,FALSE,TRUE,FALSE,2 Year,Two or More Lines,No Internet Service,Phone Only
0177-PXBAT,Male,1,Yes,No,1,2,2,TRUE,0,Bank transfer (automatic),109.90,"3,694.70",No,33,111.96,FALSE,20181027,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0178-CIIKR,Female,0,No,No,0,1,0,FALSE,0,Mailed check,19.95,58.00,No,2,29.00,FALSE,20210527,TRUE,FALSE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0178-SZBHO,Male,0,Yes,Yes,3,2,2,TRUE,0,Electronic check,87.20,"4,017.45",No,46,87.34,FALSE,20170927,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0181-RITDD,Male,0,Yes,Yes,3,1,2,TRUE,2,Mailed check,108.15,"6,825.65",No,63,108.34,FALSE,20160427,FALSE,FALSE,TRUE,TRUE,2 Year,One Line,Fiber Optic,Phone & Internet
0186-CAERR,Male,0,No,No,0,2,2,TRUE,1,Bank transfer (automatic),116.30,"8,309.55",No,71,117.04,FALSE,20150827,FALSE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
0187-QSXOE,Male,1,Yes,No,1,1,2,TRUE,0,Electronic check,89.00,605.45,No,6,100.91,FALSE,20210127,FALSE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0187-WZNAB,Female,0,Yes,Yes,3,1,2,TRUE,0,Mailed check,74.40,"1,972.35",No,26,75.86,FALSE,20190527,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0188-GWFLE,Male,0,No,No,0,1,0,FALSE,0,Mailed check,20.05,33.70,No,1,33.70,FALSE,20210627,FALSE,FALSE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0191-EQUUH,Female,0,No,Yes,2,0,1,FALSE,2,Bank transfer (automatic),35.05,844.45,No,24,35.19,FALSE,20190727,TRUE,FALSE,FALSE,TRUE,2 Year,No Phone Service,DSL,Internet Only
0191-ZHSKZ,Male,1,No,No,0,1,1,TRUE,0,Electronic check,74.75,"2,111.30",No,28,75.40,FALSE,20190327,FALSE,FALSE,TRUE,TRUE,Month-to-Month,One Line,DSL,Phone & Internet
0193-ESZXP,Female,1,Yes,No,1,1,2,TRUE,1,Credit card (automatic),105.50,"6,205.50",Yes,58,106.99,FALSE,20160927,TRUE,TRUE,TRUE,TRUE,1 Year,One Line,Fiber Optic,Phone & Internet
0195-IESCP,Male,0,Yes,No,1,2,2,TRUE,0,Electronic check,85.25,855.30,Yes,10,85.53,FALSE,20200927,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0196-JTUQI,Female,0,No,No,0,2,2,TRUE,0,Credit card (automatic),75.20,633.85,No,8,79.23,FALSE,20201127,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0196-VULGZ,Female,1,Yes,No,1,2,2,TRUE,0,Electronic check,84.35,474.90,Yes,5,94.98,FALSE,20210227,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0197-PNKNK,Female,0,Yes,Yes,3,2,2,TRUE,1,Bank transfer (automatic),84.45,"5,848.60",No,69,84.76,FALSE,20151027,TRUE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
0201-MIBOL,Female,1,No,No,0,2,2,TRUE,2,Bank transfer (automatic),102.40,"6,471.85",No,63,102.73,FALSE,20160427,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0201-OAMXR,Female,0,No,No,0,2,2,TRUE,1,Credit card (automatic),115.55,"8,127.60",Yes,70,116.11,FALSE,20150927,TRUE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
0203-HHYIJ,Male,0,No,No,0,2,0,FALSE,1,Bank transfer (automatic),25.30,676.35,Yes,26,26.01,FALSE,20190527,FALSE,TRUE,TRUE,FALSE,1 Year,Two or More Lines,No Internet Service,Phone Only
0206-OYVOC,Female,0,Yes,Yes,3,1,0,FALSE,2,Mailed check,19.25,864.20,No,44,19.64,FALSE,20171127,TRUE,FALSE,TRUE,FALSE,2 Year,One Line,No Internet Service,Phone Only
0206-TBWLC,Female,0,Yes,No,1,2,2,TRUE,1,Mailed check,114.65,"6,049.50",No,52,116.34,FALSE,20170327,TRUE,FALSE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone & Internet
